year	regular_record	regular_place	league_structure	playoff_seed	playoff_record	playoff_place	notes
2018	9-1	1	7 teams	1	1-1	2	
2017	8-4	T-2	7 teams	2	1-1	2	
2016	8-2	1	4 teams in Div. B	2	3-2	2	
2015	9-3	2	7 teams	2	1-2	3	
2014	5-5	4	6 teams	4	2-2	4	
2013	1-7	5	5 teams	5	0-2	5	
2012	6-5	3	5 teams	3	1-2	4	
2011	4-8	7	7 teams	7	0-2	7	
2010	1-7	7	7 teams	7	0-2	7	
2009	5-5	5	8 teams				tournament cancelled (darkness)
2008							no games played (field maintenance)
2007	1-9	T-6	7 teams	6	1-2	T-5	
2006	5-5	T-3	7 teams	4	3-2	3	
2005	5-5	T-2	4 teams in Div. B	5	0-2	T-7	
2004	5-5	3	4 teams in Div. A	4	0-2	T-7	
2003	5-5	3	4 teams in Div. B	5	2-2	3	
2002	7-7	4	8 teams	4	1-2	T-5	
2001	1-11	T-6	7 teams	6	1-2	T-5	
