year	team	team_normalized
2001	Capitalist Pigs	Capitalist Pigs
2001	Diamondbacks	Diamondbacks
2001	Disclaimers	Disclaimers
2001	Free Radicals	Free Radicals
2001	Cretins	Mixed Nutz
2001	Standard Errors	Standard Errors
2001	Toxic Waste	Toxic Waste
2002	Capitalist Pigs	Capitalist Pigs
2002	Diamondbacks	Diamondbacks
2002	Disclaimers	Disclaimers
2002	Free Radicals	Free Radicals
2002	Institute All-Stars	Loose Cannons
2002	Cretins	Mixed Nutz
2002	Standard Errors	Standard Errors
2002	Toxic Waste	Toxic Waste
2003	Capitalist Pigs	Capitalist Pigs
2003	Diamondbacks	Diamondbacks
2003	Free Radicals	Free Radicals
2003	Loose Cannons	Loose Cannons
2003	Cretins	Mixed Nutz
2003	Standard Errors	Standard Errors
2003	Swingers	Swingers
2003	Toxic Waste	Toxic Waste
2004	Capitalist Pigs	Capitalist Pigs
2004	Diamondbacks	Diamondbacks
2004	Outkasts	Sudden Impact
2004	Loose Cannons	Loose Cannons
2004	Cretins	Mixed Nutz
2004	Standard Errors	Standard Errors
2004	Swingers	Swingers
2004	Toxic Waste	Toxic Waste
2005	Capitalist Pigs	Capitalist Pigs
2005	Diamondbacks	Diamondbacks
2005	Inferno	Sudden Impact
2005	Loose Cannons	Loose Cannons
2005	Cretins	Mixed Nutz
2005	Standard Errors	Standard Errors
2005	Swingers	Swingers
2005	Toxic Waste	Toxic Waste
2006	Capitalist Pigs	Capitalist Pigs
2006	Diamondbacks	Diamondbacks
2006	Inferno	Sudden Impact
2006	Loose Cannons	Loose Cannons
2006	Cretins	Mixed Nutz
2006	Standard Errors	Standard Errors
2006	Toxic Waste	Toxic Waste
2007	Chuck Norris All-Stars	bandITS
2007	Diamondbacks	Diamondbacks
2007	Inferno	Sudden Impact
2007	Loose Cannons	Loose Cannons
2007	Cretins	Mixed Nutz
2007	Standard Errors	Standard Errors
2007	Toxic Waste	Toxic Waste
2009	Chuck Norris All-Stars	bandITS
2009	Diamondbacks	Diamondbacks
2009	Inferno	Sudden Impact
2009	Loose Cannons	Loose Cannons
2009	Mixed Nutz	Mixed Nutz
2009	S.O.P.	S.O.P.
2009	Standard Errors	Standard Errors
2009	Toxic Waste	Toxic Waste
2010	Chuck Norris All-Stars	bandITS
2010	Diamondbacks	Diamondbacks
2010	Hit Squad	Sudden Impact
2010	Loose Cannons	Loose Cannons
2010	Mixed Nutz	Mixed Nutz
2010	Standard Errors	Standard Errors
2010	Toxic Waste	Toxic Waste
2011	Chuck Norris All-Stars	bandITS
2011	Diamondbacks	Diamondbacks
2011	Hit Squad	Sudden Impact
2011	Loose Cannons	Loose Cannons
2011	Mixed Nutz	Mixed Nutz
2011	Standard Errors	Standard Errors
2011	Toxic Waste	Toxic Waste
2012	Chuck Norris All-Stars	bandITS
2012	Field Surveyors	Corn Wallaces
2012	Hit Squad	Sudden Impact
2012	Loose Cannons	Loose Cannons
2012	Standard Errors	Standard Errors
2012	Toxic Waste	Toxic Waste
2013	Chuck Norris All-Stars	bandITS
2013	Corn Wallaces	Corn Wallaces
2013	Loose Cannons	Loose Cannons
2013	Standard Errors	Standard Errors
2013	Toxic Waste	Toxic Waste
2014	Chuck Norris All-Stars	bandITS
2014	Corn Wallaces	Corn Wallaces
2014	Loose Cannons	Loose Cannons
2014	PHRD Sox	PHRD Sox
2014	Standard Errors	Standard Errors
2014	Toxic Waste	Toxic Waste
2015	Chuck Norris All-Stars	bandITS
2015	Corn Wallaces	Corn Wallaces
2015	Loose Cannons	Loose Cannons
2015	Ochos	Ochos
2015	PHRD Sox	PHRD Sox
2015	Standard Errors	Standard Errors
2015	Toxic Waste	Toxic Waste
2016	bandITS	bandITS
2016	Corn Wallaces	Corn Wallaces
2016	Loose Cannons	Loose Cannons
2016	Ochos	Ochos
2016	PHRD Sox	PHRD Sox
2016	Standard Errors	Standard Errors
2016	Toxic Waste	Toxic Waste
2016	Sudden Impact	Sudden Impact
2017	bandITS	bandITS
2017	Corn Wallaces	Corn Wallaces
2017	Loose Cannons	Loose Cannons
2017	Ochos	Ochos
2017	Standard Errors	Standard Errors
2017	Toxic Waste	Toxic Waste
2017	Sudden Impact	Sudden Impact
2018	bandITS	bandITS
2018	Corn Wallaces	Corn Wallaces
2018	Lab Rats	Lab Rats
2018	Loose Cannons	Loose Cannons
2018	Ochos	Ochos
2018	Standard Errors	Standard Errors
2018	Toxic Waste	Toxic Waste
